### Heat rates and emissions were gathered from EIA: https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2020.pdf,,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,,
"### All values are from the EIA for the US, but nation specific values will be added soon",,,
country,primary_fuel,heat_rate_btu_per_kwh,co2_lb_per_mmbtu
GTM,Nuclear,10608,0
GUF,Coal,10551,206
GUF,Gas,7732,117
GUF,Oil,11135,117
GUF,Solar,3412,0
GUF,Wind,3412,0
GUF,Waste,8513,117
GUF,Hydro,3412,0
GUF,Geothermal,3412,0
GUF,Biomass,13300,206
GUF,Nuclear,10608,0
GUY,Coal,10551,206
GUY,Gas,7732,117
GUY,Oil,11135,117
GUY,Solar,3412,0
GUY,Wind,3412,0
GUY,Waste,8513,117
GUY,Hydro,3412,0
GUY,Geothermal,3412,0
GUY,Biomass,13300,206
GUY,Nuclear,10608,0
HND,Coal,10551,206
HND,Gas,7732,117
HND,Oil,11135,117
HND,Solar,3412,0
HND,Wind,3412,0
HND,Waste,8513,117
HND,Hydro,3412,0
HND,Geothermal,3412,0
HND,Biomass,13300,206
HND,Nuclear,10608,0
HRV,Coal,10551,206
HRV,Gas,7732,117
HRV,Oil,11135,117
HRV,Solar,3412,0
HRV,Wind,3412,0
HRV,Waste,8513,117
HRV,Hydro,3412,0
HRV,Geothermal,3412,0
HRV,Biomass,13300,206
HRV,Nuclear,10608,0
HUN,Coal,10551,206
HUN,Gas,7732,117
HUN,Oil,11135,117
HUN,Solar,3412,0
HUN,Wind,3412,0
HUN,Waste,8513,117
HUN,Hydro,3412,0
HUN,Geothermal,3412,0
HUN,Biomass,13300,206
HUN,Nuclear,10608,0
IDN,Coal,10551,206
IDN,Gas,7732,117
IDN,Oil,11135,117
IDN,Solar,3412,0
IDN,Wind,3412,0
IDN,Waste,8513,117
IDN,Hydro,3412,0
IDN,Geothermal,3412,0
IDN,Biomass,13300,206
IDN,Nuclear,10608,0
IND,Coal,10551,206
IND,Gas,7732,117
IND,Oil,11135,117
IND,Solar,3412,0
IND,Wind,3412,0
IND,Waste,8513,117
IND,Hydro,3412,0
IND,Geothermal,3412,0
IND,Biomass,13300,206
IND,Nuclear,10608,0
IRL,Coal,10551,206
