"country","country_long","name","latitude","longitude","primary_fuel","state","nerc"
"USA","United States of America","Valdosta Water Treatment Plant",30.9136,-83.2529,"Oil","GA","SERC"
"USA","United States of America","Vale Air Solar Center  LLC",43.965,-117.2581,"Solar",NA,NA
"USA","United States of America","Valencia",31.3635,-110.9313,"Gas","AZ","WECC"
"USA","United States of America","Valencia 1 Solar CA",33.0436,-115.6278,"Solar",NA,NA
"USA","United States of America","Valencia Energy Facility",34.6115,-106.7322,"Gas","NM","WECC"
"USA","United States of America","Valencia Solar",32.1458,-110.8669,"Solar",NA,NA
"USA","United States of America","Valenite",34.6572,-83.0383,"Oil","SC","SERC"
"USA","United States of America","Valentine Wind  LLC",42.8591,-100.5924,"Wind",NA,NA
"USA","United States of America","Valero Refinery Cogeneration Unit 1",38.0736,-122.1411,"Gas","CA","WECC"
"USA","United States of America","Valero Refinery Corpus Christi West",27.8175,-97.4814,"Petcoke","TX","TRE"
"USA","United States of America","Vallecito Hydroelectric",37.3777,-107.5787,"Hydro",NA,NA
"USA","United States of America","Valley (CA)",34.245,-118.3913,"Gas","CA","WECC"
"USA","United States of America","Valley (WI)",43.0303,-87.9233,"Gas","WI","RFC"
"USA","United States of America","Valley Center",33.2503,-117.0226,"Solar",NA,NA
"USA","United States of America","Valley Center 1",33.2342,-117.0017,"Solar",NA,NA
"USA","United States of America","Valley Center 2",33.2342,-117.0017,"Solar",NA,NA
"USA","United States of America","Valley Creek Solar",45.033,-123.094,"Solar",NA,NA
"USA","United States of America","Valley Falls Hydroelectric Facility",42.9044,-73.5625,"Hydro",NA,NA
"USA","United States of America","Valley Queen Cheese",45.2211,-96.6372,"Oil","SD","MRO"
"USA","United States of America","Valley Sanitary District WTP Solar",33.7087,-116.1989,"Solar",NA,NA
"USA","United States of America","Valley View",33.9001,-117.829,"Hydro",NA,NA
"USA","United States of America","Valley View Solar",40.4188,-104.8919,"Solar",NA,NA
"USA","United States of America","Valley View Transmission LLC",43.9028,-96.0217,"Wind",NA,NA
"USA","United States of America","Valmont",40.0195,-105.202,"Gas","CO","WECC"
"USA","United States of America","Valmont Combustion Turbine Project",40.0205,-105.2009,"Gas",NA,NA
