name,class,attribute,value
ARG_Oil_CTAATUYA121,Generator,Latitude,-28.4431
ARG_Oil_CTAATUYA121,Generator,Longitude,-62.8569
ARG_Oil_CTAATUYAII122,Generator,Latitude,-28.4431
ARG_Oil_CTAATUYAII122,Generator,Longitude,-62.8569
ARG_Oil_CTALEM117,Generator,Latitude,-43.0907
ARG_Oil_CTALEM117,Generator,Longitude,-65.2298
ARG_Oil_CTALUMINE118,Generator,Latitude,-38.8706
ARG_Oil_CTALUMINE118,Generator,Longitude,-70.5753
ARG_Oil_CTARISTOBULOD119,Generator,Latitude,-27.0922
ARG_Oil_CTARISTOBULOD119,Generator,Longitude,-54.8625
ARG_Oil_CTARRECIFES120,Generator,Latitude,-34.0414
ARG_Oil_CTARRECIFES120,Generator,Longitude,-60.1297
ARG_Oil_CTBARILOCHE123,Generator,Latitude,-41.1497
ARG_Oil_CTBARILOCHE123,Generator,Longitude,-71.2633
ARG_Oil_CTBELLVILLE124,Generator,Latitude,-32.6103
ARG_Oil_CTBELLVILLE124,Generator,Longitude,-62.6864
ARG_Oil_CTCAPITANSARM126,Generator,Latitude,-34.1636
ARG_Oil_CTCAPITANSARM126,Generator,Longitude,-59.7683
ARG_Oil_CTCATAMARCA127,Generator,Latitude,-28.4706
ARG_Oil_CTCATAMARCA127,Generator,Longitude,-65.7647
ARG_Oil_CTCAVIAHUE128,Generator,Latitude,-38.0528
ARG_Oil_CTCAVIAHUE128,Generator,Longitude,-70.6136
ARG_Oil_CTCERES129,Generator,Latitude,-29.8883
ARG_Oil_CTCERES129,Generator,Longitude,-61.9297
ARG_Oil_CTCHARATA130,Generator,Latitude,-27.2369
ARG_Oil_CTCHARATA130,Generator,Longitude,-61.1939
ARG_Oil_CTCHILECITO131,Generator,Latitude,-29.1581
ARG_Oil_CTCHILECITO131,Generator,Longitude,-67.5072
ARG_Oil_CTCIPOLLETTI132,Generator,Latitude,-38.9133
ARG_Oil_CTCIPOLLETTI132,Generator,Longitude,-67.9414
ARG_Oil_CTCOLONBUENOS133,Generator,Latitude,-33.9222
ARG_Oil_CTCOLONBUENOS133,Generator,Longitude,-61.0769
